0	85.736473083	
1	88.319717407	
2	89.001678467	
3	90.970947266	
4	94.708778381	
5	100.718017578	
6	106.813575745	
7	112.107406616	
8	118.108009338	
9	125.459587097	
10	130.148056030	
11	137.562225342	
12	151.162582397	
13	189.396621704	
14	228.899597168	
15	244.415283203	
16	247.366485596	
17	245.402618408	
18	248.189804077	
19	251.773330688	
20	255.356857300	
21	258.940399170	
22	262.523925781	
23	265.709289551	
24	268.111267090	
25	271.231872559	
26	275.084075928	
27	277.343597412	
28	280.871032715	
29	285.731079102	
30	287.773742676	
31	290.395812988	
32	294.058105469	
33	295.461944580	
34	297.750610352	
35	301.095672607	
36	304.179626465	
37	307.393035889	
38	310.844909668	
39	314.072357178	
40	316.878967285	
41	320.214324951	
42	322.773834229	
43	325.024719238	
44	325.484405518	
45	325.641967773	
46	326.725311279	
47	327.540008545	
48	328.270507812	
49	329.853485107	
50	330.605590820	
51	330.776062012	
52	330.453430176	
53	329.872894287	
54	329.678680420	
55	329.344177246	
56	328.773345947	
57	327.794677734	
58	326.588287354	
59	325.704528809	
60	323.939208984	
61	321.485443115	
62	319.667236328	
63	318.947509766	
64	318.044342041	
65	316.785095215	
66	315.548522949	
67	314.194305420	
68	313.765899658	
69	313.541473389	
70	313.024597168	
71	311.581909180	
72	310.119781494	
73	309.543579102	
74	309.868377686	
75	309.838165283	
76	309.623413086	
77	309.572723389	
78	309.294342041	
79	309.812286377	
80	307.914215088	
81	303.477172852	
82	303.402709961	
83	302.133728027	
84	300.379180908	
85	299.377838135	
86	299.390808105	
87	300.184967041	
88	299.821350098	
89	298.899810791	
90	299.223541260	
91	299.387542725	
92	299.058441162	
93	298.368927002	
94	298.034423828	
95	298.232940674	
96	297.582275391	
97	294.932128906	
98	293.131195068	
99	293.697692871	
100	293.390167236	
101	288.680145264	
102	288.715728760	
103	275.665710449	
104	221.306320190	
105	130.444808960	
106	67.610565186	
107	47.445255280	
108	59.894271851	
109	60.890235901	
110	59.061241150	
111	54.766620636	
112	51.643844604	
113	56.531944275	
114	65.847396851	
115	73.706130981	
116	74.050346375	
117	66.999824524	
118	58.112754822	
119	52.394863129	
120	50.862609863	
121	48.826442719	
122	44.983940125	
123	42.335948944	
